id-clube,nome-clube,id-liga,nome-liga
34738,JacksonClub,111,Suprema EU
57224,CARTEL POKER CLUB,128,Suprema Union
40180,VEV POKER,148,Suprema V
377039,FichasNet,106,Suprema
468593,A-GAME POKER CLUB,106,Suprema
661200,ROMA  POKER !,106,Suprema
30863,FichasNet - Online,128,Suprema Union
1875222,H10-1,106,Suprema
564800,Cuiabá Poker Stage,106,Suprema
1038217,FichasNet Gold,107,Liga Principal
598187,FichasNet 10,106,Suprema
42803,Monalisa PKR ⚔️,150,Suprema Bolivia
54190,Ace & Mosaic Online,214,CERRADO POKER LEAGUE
25300,PIONEROS COL,147,Suprema Colombia
367577,Brasil Games Online,128,Suprema Union
278673,Piratas Poker 1,106,Suprema
55094,HomeGamers - Liga,171,Liga Royal
772824,Super Império,107,Liga Principal
55037,SX | CGP,128,Suprema Union
369723,The Union 1,106,Suprema
581358,PD POKER,106,Suprema
43016,Liga_Royal,171,Liga Royal
1116158,The God Poker,128,Suprema Union
57152,ONYX,111,Suprema EU
26174,SOLO PKR 🇦🇷,137,Suprema A
44063,GKPoker,111,Suprema EU
50050,Zila Supreme,128,Suprema Union
20935,Tоp Gun,111,Suprema EU
47729,Donkeylândia 4,107,Liga Principal
698425,MAFIA JAPONESA,107,Liga Principal
37638,Home do Recreativo,171,Liga Royal
51408,OtsuKA Eh Fold,128,Suprema Union
11665,POKERVIPURUGUAY,204,Suprema Uruguai
53026,Poker Uruguay,204,Suprema Uruguai
38200,POSH BSB,214,CERRADO POKER LEAGUE
10947,POKER DOSGURI’S,107,Liga Principal
40859,blindTOblind,147,Suprema Colombia
47382,SX | Thunder Gold,128,Suprema Union
33761,SX | Poker Nice,128,Suprema Union
33611,SX | Copas Elite,128,Suprema Union
54417,SX | KJ Poker Club,205,Suprema SX-E
48614,SX | Minas,128,Suprema Union
54399,SX | SHOVE CLUB,128,Suprema Union
44534,SX | RPM POKER CLUB,128,Suprema Union
42667,SX | SR.MARIOTTI,128,Suprema Union
40562,SX | Hunter Club,128,Suprema Union
29933,SX | Prime Poker,128,Suprema Union
39861,SX | CIAPOKER,128,Suprema Union
28912,SX | R6 POKER,106,Suprema
49639,SX | CJ Poker House,128,Suprema Union
37215,Orlando Poker Club,173,Suprema SX USD
44668,SX | Luz Poker,128,Suprema Union
723105,SX | NEXT Poker 1,106,Suprema
271869,SX | Stars Poker 2,106,Suprema
909136,SX | KING Online 3,106,Suprema
48630,SX | Tribeta,128,Suprema Union
42038,SX | Mentes do Poker,128,Suprema Union
50662,SX l MLN EVENTOS,128,Suprema Union
49140,SX | NEXT 2,128,Suprema Union
34765,SX | Poker Siq,128,Suprema Union
30977,SX | QG Poker Club,128,Suprema Union
10000,SX Poker 1,106,Suprema
48529,SX | NEXUS,128,Suprema Union
51250,SX | SerrAA,128,Suprema Union
536385,SX | Stars elite,107,Liga Principal
48548,SX | GETSTAR 3,128,Suprema Union
39724,SX | CLUBE TH FICHAS,128,Suprema Union
357809,Auge / Vala9 | SX,106,Suprema
47263,SX |  AnAo do JJ,128,Suprema Union
48143,SX | Tereza Poker,128,Suprema Union
54497,SX | Beradeiros,128,Suprema Union
28824,SX | Live Poker BR,106,Suprema
50630,SX | Clube Diferente,128,Suprema Union
49186,SX | Toro Poker,128,Suprema Union
48549,SX | Agreste Poker,128,Suprema Union
56098,H2 Club 25,128,Suprema Union
