Club ID,Club Name
10000,SX Poker 1
10001,SX | XX POKER
10027,lobby
10028,菜鸟俱乐部1
10029,小联盟 club
10030,Lobby Game
10031,PWJ  Unionn
10032,PWJ  PWJ
10033,月上上俱乐部
10034,月上一俱乐部
10035,月上二俱乐部
10036,月上三俱乐部
10037,月上四俱乐部
10038,月上五俱乐部
10039,傻子1234
10040,没联盟 club
10041,h2 club12
10042,菜鸟二号俱乐部
10043,daniel123
10044,Liga Suprema ADM
10045,Nicholas STE`Corp
10046,Nicholas Union
10051,Benteezy
10052,Real Poker
10053,Clube 1
10054,Clube 2
10056,IvanisPoker
10057,ntn_club
10060,Suprema Teste
10061,daniel111
10062,daniel222
10063,Nicholas Club
10064,Benteezy Union
10065,Nicholas Club Test
10066,Benteezy222
10067,PHUAH 111
10068,PHUAH 222
10069,MadRoll
10082,Principal ADM
10090,Chocobot
10201,asdasss
10204,JacksTeste
10228,Strong
10230,Startup
10254,Rounders
10258,Profit
10304,Alcatéia
10308,Live Club
10311,Taco Club
10314,Poker Show
10315,HK-POKER
10319,Club Nuts
10330,Million
10342,FULL HOUSE ONLINE
10350,Street Poker
10354,PIO Poker
10386,72Off Poker Stage 2
10402,LOL Club
10411,Panda Poker
10519,H2 Club 2
10524,H2 Club 4
10528,Donkey Poker Club 2
10531,Masters Latam 2
10532,GDR Union 2
10537,A-GAME RECREATIVO
10543,The Wolf 2
10550,Alcides Mais
10552,C4 Clube 2
10557,TCG POKER 2
10590,teste2
10591,FichasNet Club
10598,Teste Principal
10599,Clube das Estrelas
10602,Liga de Camba
10603,ALCIDES ON-LINE
10608,testebeta
10609,Poka Brisa
10619,LE JOKERINO
10620,JOKERINO 2
10621,JOKERINO 3
10622,JOKERINO 4
10624,Resenha Poker HG
10629,H2 Club 1
10630,H2 Club 16
10634,H2 Club 3
10635,My Club
10637,Mega Tilt Poker
10639,PRO2 POKER
10640,PRO2 POKER ON-LINE
10641,PRO2 PKR
10648,POKERVIP CHIPPIX
10649,Don_Gian Poker
10650,Liga Deck 52
10651,Subway
10652,Deck 52
10659,Recreativos.Club
10661,bLg D0cks
10663,Paga Noix
10664,WeedPoker
10665,Clube do Fiado
10667,Sharks Poker Club
10668,Sharks Poker
10669,Shark Poker
10670,Sharks Poker.
10671,Pallace Poker clube
10672,Elton Rocha
10675,Makarosha
10677,storm2
10679,-LPTH-
10681,377039
10682,723105
10683,457788
10684,343132
10685,Conkas Poker Clube
10688,Pokeristas
10689,MGP&DG
10690,FANTASY
10692,riopoker
10693,The Wall
10695,King 1
10698,Big Poker
10699,330297
10700,Home Game
10701,Kops Poker
10702,669845
10703,Shark Poker Club
10704,1178443
10705,MT Poker online
10708,CEREJEIRAS POKER
10710,ChippixClubTest
10711,nacaratto
10713,589965
10716,ClubeDaResenha
10718,100100
10720,piratas poker
10722,GPI Poker Clube
10723,Fichas Poker Clubes
10725,4i20pokerr club
10726,Acabou
10731,Oz PokerON 2old
10732,1012PokerClube
10736,PokerNight
10738,909136
10739,564800
10741,Hijack
10742,entre amigos
10743,H2Club CPS/CWB
10744,PokeDeaf
10745,WPoker | SX
10748,PlayGames
10749,davizera
10751,Hyjack club
10752,CLUBE TESTE
10755,POKER BRASIL
10759,FISH GALLERY
10761,LOVE POKER BAURU
10762,Gurizada
10765,444762
10768,Liga H&H
10771,581358
10773,578874
10778,9e4 Off poker Clube
10780,nawa12
10782,Soncella
10783,Abacaxi Poker
10785,349135
10786,Novatos do Poker
10790,738679
10792,343122
10794,POKER BG
10795,Igarape Poker
10798,ACES CLUBE
10800,Star Poker
10801,H2 Club 10
10803,H2 Club 5
10804,Ultimate Poker
10805,Poker de Ruq
10806,Liga MasterSB
10807,POKERdoBOM
10809,656187
10810,735908
10811,665622
10813,1083800
10814,poker room
10815,poker room 2
10816,Mattar Club
10820,dosCria Poker
10821,thenoob
10825,POKERCHURRAS
10826,clube do serjão
10829,1480461
10830,JANGADA
10831,562562
10832,CearaPoker
10833,3021269
10835,1583176410
10839,BBBPOKER
10840,468593
10843,alcides
10845,Poker do MauG
10846,Safardanas Poker
10849,7BET BR
10850,Clube poker
10851,galgal
10852,23655398
10853,Itajubá poker
10854,271869
10855,2365398
10859,Shovei
10860,Real Minas
10861,1875222
10862,PKR CLUB
10863,Bankers Poker Clube
10864,278673
10865,Venetian Macau
10867,573787
10871,Minas Poker
10872,Póker Gold Go
10875,346136
10876,397397
10877,B0B🇧🇷P0KER
10879,Borja club
10881,1081693
10882,765186
10883,dmilhao
10884,The Deck
10886,Ceilândia Poker
10887,REISE CLUB
10889,🔥OnFire🔥
10892,ELITE POKER
10893,1176143
10895,Alexmart
10897,Meu Clube
10899,pipoca
10900,3027491
10901,1858943
10907,1847274
10908,fichanet
10911,664391
10912,clube do vilão
10913,765435
10915,Royal Club
10916,Prime Exclusive
10917,Bueno Poker
10918,SANCA POKER
10920,1619944
10921,1637000
10922,Europa Poker
10923,901869
10926,UproDosPro
10927,$$ Poker PL $$
10928,OBarra Poker
10930,Lia 288
10931,3021358
10932,FIVE VIP
10933,Masters
10934,747043
10936,Vieira's poker
10937,liga346136
10940,ThePoker
10941,AstronaPokerClub
10943,2660635
10944,Só poker sem...
10945,801785
10946,NaipedeOuro
10947,POKER DOSGURI’S
10948,2168895
10950,Odds VIP
10951,Black Club
10952,178450
10954,Sevens Poker House
10955,Mississipi Poker
10956,661200
10957,ricardinho
10958,MocCity Poker
10961,Suprema Perú 🇵🇪
10963,LIMA PÓKER
10964,686053
10966,ATLANTIS
10967,536385
10968,SULPOKER
10971,635513
10973,GYPSY_CLUB
10974,Clube Leveland
10976,Pocker dos Noias
10978,1081603
10980,joga fácil
10981,Liga Suprema
10982,itskylimit
10985,260665
10986,1671244
10987,Poker da Várzea PV
10988,Pitoresco's
10990,541371
10991,2101413
10992,618906
10994,AIR VIP
10995,1043675
10996,lençóis pta
10997,Bad Beat Poker
10998,768186
11000,FPC Poker
11002,824545
11004,clube rafa
11006,Street Poker 10
11008,Picpay
11009,334443
11020,3103909
11021,Poker Bernardes
11022,75 é nuts
11023,STORM 2
11025,299896
11026,Tocaia Home Game
11027,Cllube
11028,Freebet Poker club
11029,C4 Clube
11030,addgsoe
11031,testeram
11032,CALL Poker Fest
11033,Gurupinga Poker
11034,2457959
11036,LOOSE POKER
11038,727588
11039,PIX POKER CLUB
11040,Toka do Coelho
11041,suprema poker
11042,598187
11044,3027494
11045,Poker Rio Verde Go
11046,sophie club
11047,Poker GyN
11048,HomegamE PR
11049,O PAI TA ON
11050,Liga BrPpoker
11052,Coco Poker Clube
11054,Black Card
11056,RT Clube de Poker
11057,SHELBYS_CLUB
11058,theunion
11061,AliPokerClub
11062,SUL BRASIL
11063,Alpha Poker Club
11071,Clubs Prime
11073,Coffnet
11074,H911net
11075,fsa home game
11080,test poker
11081,1011020
11082,METROPOLITANO
11083,PCM MELEIRO
11084,AK Duque
11085,Id novo Club: 909136
11089,vemmama
11090,Pekinha Poker Clube
11091,Club do Poker RC
11096,Poker King
11098,Poker Mania
11099,Amigos do Poker
11111,EXCLUSIVE HG
11200,Clube do Salsa
11201,San mi poker ♠️
11204,Royal Flash
11205,Pinda Pôker
11207,confraria
11220,SUL POKER ONLINE
11223,Trinity Club
11224,41 144
11225,476Poker
11226,shortgamers
11227,Baralhões cash
11228,SE7E2 POKER
11229,Gutshot pkr
11243,AGIOTAS POKER
11244,Nicloas game
11245,Green House
11246,KFA HOLDEN CLUB
11249,836283
11250,BrazilPokerLive
11253,stare2
11255,ResenhaPokerClub
11256,Brutus Poker
11259,Feras Poker
11260,Arena Poker Club
11265,257856
11267,Pubsportsbar
11269,DM POKER CLUB
11270,THREE HAND CLUB
11271,898234
11273,HPoker
11275,Xperience| CPC
11280,PokerGyn
11283,VIP_POKER
11286,ZE DO POKER
11288,FairPlay Online
11289,SocSecreta
11290,Fish Pool
11300,Resenha
11321,testttt
11335,helmut club
11336,bluff poker club
11338,687517
11340,Clube do Seninha
11341,Premier club
11342,The Kings Poker Club
11346,Poker dos Amigos
11347,natureone
11348,2512171
11349,Diamante Poker
11350,NOAHPOKER
11351,2527441
11352,Alto Poker
11355,pokerparaiso
11356,pokeraju
11357,miotto 7
11358,MINDS POKER
11360,1178450
11362,poker poker
11364,STARS FICHAS POKER
11365,❤️♣️CPT♦️♠️
11367,Coite Poker Clube
11369,Bsf all in
