id-liga,nome-liga
106,Suprema
107,Liga Principal
111,Suprema EU
127,Suprema Peru
128,Suprema Union
132,Suprema Ásia
135,Supreme Poker
136,Suprema México
137,Suprema Argentina
145,Suprema Panamá
147,Suprema Colômbia
148,Suprema Venezuela
149,Suprema R Dominicana
150,Suprema Bolívia
163,Suprema Costa Rica
164,Suprema KZ
165,Re-Stars
166,Suprema USA FN
170,SRODEO
171,Liga Royal
173,Suprema SX USD
174,Suprema Canadá
180,♠️♥️ HOME GAME ♦️♣️
184,Suprema Chile
197,Suprema Freeroll
199,Suprema ADR USD
202,Suprema Índia
204,Suprema Uruguai
205,Suprema SX-E
213,Vulcão
214,CERRADO POKER LEAGUE
